Day,Time,Condition,Envir,Reading,PID
T0,14:45:00,Blinds,temp,74.2,RR2
T0,15:00:00,Blinds,temp,73.8,RR2
T0,15:15:00,Blinds,temp,73.5,RR2
T0,15:30:00,Blinds,temp,73.3,RR2
T0,15:45:00,Blinds,temp,73.1,RR2
T0,16:00:00,Blinds,temp,74.4,RR2
T0,16:15:00,Blinds,temp,74.3,RR2
T0,16:30:00,Blinds,temp,73.3,RR2
T0,16:45:00,Blinds,temp,72.9,RR2
T0,17:00:00,Blinds,temp,73.1,RR2
T0,17:15:00,Blinds,temp,73,RR2
T0,17:30:00,Blinds,temp,73.3,RR2
T0,17:45:00,Blinds,temp,73.1,RR2
T0,18:00:00,Blinds,temp,73.2,RR2
T0,18:15:00,Blinds,temp,72.6,RR2
T0,18:30:00,Blinds,temp,72.7,RR2
T0,18:45:00,Blinds,temp,71.9,RR2
T0,19:00:00,Blinds,temp,71.5,RR2
T0,19:15:00,Blinds,temp,71.3,RR2
T0,19:30:00,Blinds,temp,70.8,RR2
T0,19:45:00,Blinds,temp,70.7,RR2
T0,20:00:00,Blinds,temp,70.3,RR2
T0,20:15:00,Blinds,temp,70.5,RR2
T0,20:30:00,Blinds,temp,70.7,RR2
T0,20:45:00,Blinds,temp,70.6,RR2
T0,21:00:00,Blinds,temp,71.2,RR2
T0,21:15:00,Blinds,temp,71.1,RR2
T0,21:30:00,Blinds,temp,71.3,RR2
T0,21:45:00,Blinds,temp,71.5,RR2
T0,22:00:00,Blinds,temp,71.1,RR2
T0,22:15:00,Blinds,temp,71.3,RR2
T0,22:30:00,Blinds,temp,71.2,RR2
T0,22:45:00,Blinds,temp,71.4,RR2
T0,23:00:00,Blinds,temp,71.5,RR2
T0,23:15:00,Blinds,temp,71.1,RR2
T0,23:30:00,Blinds,temp,71.4,RR2
T0,23:45:00,Blinds,temp,71.4,RR2
T1,0:00:00,Blinds,temp,71.4,RR2
T1,0:15:00,Blinds,temp,71.1,RR2
T1,0:30:00,Blinds,temp,71.3,RR2
T1,0:45:00,Blinds,temp,71.3,RR2
T1,1:00:00,Blinds,temp,71.5,RR2
T1,1:15:00,Blinds,temp,71.1,RR2
T1,1:30:00,Blinds,temp,71.5,RR2
T1,1:45:00,Blinds,temp,71.1,RR2
